Data Bridge,Social Bridges,Species Bridges,Documents
Advances in Tech,DOM implementation feasible (Socio-econ),Distinct Habitat between target and non-target species,1
Scale appropriate for system,Open Communication or Co-Mngmt in place,Abiotic indicators of target species presence,1
Open-Access Public Data,Pre-existing regulation & management institutions,Migratory and/or dynamic range,1
Scale appropriate for system,Adoption Interests & Incentives,Climate change,1
Advances in Tech,DOM implementation feasible (Socio-econ),Biotic indicators of target species presence,1
Scale appropriate for system,DOM implementation feasible (Socio-econ),Abiotic indicators of target species presence,1
Scale appropriate for system,Pre-existing regulation & management institutions,Biotic indicators of target species presence,1
Stakeholder/Anthropogenic Data Access,Adoption Interests & Incentives,Migratory and/or dynamic range,1
Open-Access Public Data,Pre-existing regulation & management institutions,Abiotic indicators of target species presence,1
Advances in Tech,DOM implementation feasible (Socio-econ),Migratory and/or dynamic range,1
Availability for species,DOM implementation feasible (Socio-econ),Climate change,1
Scale appropriate for system,Pre-existing regulation & management institutions,Migratory and/or dynamic range,1
Advances in Tech,Adoption Interests & Incentives,Climate change,1
Advances in Tech,Open Communication or Co-Mngmt in place,Fine Scale management required,1
Advances in Tech,Pre-existing regulation & management institutions,Biotic indicators of target species presence,1
Stakeholder/Anthropogenic Data Access,Open Communication or Co-Mngmt in place,Biotic indicators of target species presence,1
Stakeholder/Anthropogenic Data Access,DOM implementation feasible (Socio-econ),Distinct Habitat between target and non-target species,1
Enviro Access,Adoption Interests & Incentives,Limited Prey Resources,1
