Data Bridge,Social Bridges,Species Bridges,Documents
Availability for species,DOM implementation feasible (Socio-econ),Distinct Habitat between target and non-target species,2
Scale appropriate for system,DOM implementation feasible (Socio-econ),Known Species Nat History,2
Open-Access Public Data,Open Communication or Co-Mngmt in place,Migratory and/or dynamic range,2
Scale appropriate for system,Pre-existing regulation & management institutions,Known Species Nat History,2
Open-Access Public Data,Open Communication or Co-Mngmt in place,Environmental and/or prey associations,2
Advances in Tech,DOM implementation feasible (Socio-econ),Migratory and/or dynamic range,1
Scale appropriate for system,DOM implementation feasible (Socio-econ),Environmental and/or prey associations,1
Availability for species,DOM implementation feasible (Socio-econ),Climate change,1
Scale appropriate for system,Pre-existing regulation & management institutions,Migratory and/or dynamic range,1
Open-Access Public Data,Pre-existing regulation & management institutions,Environmental and/or prey associations,1
Advances in Tech,Adoption Interests & Incentives,Climate change,1
Advances in Tech,Open Communication or Co-Mngmt in place,Fine Scale management required,1
Stakeholder/Anthropogenic Data Access,DOM implementation feasible (Socio-econ),Distinct Habitat between target and non-target species,1
Enviro Access,Adoption Interests & Incentives,Limited Prey Resources,1
Scale appropriate for system,Pre-existing regulation & management institutions,Environmental and/or prey associations,1
Availability for species,Resource Availability (economical),Distinct Habitat between target and non-target species,1
Stakeholder/Anthropogenic Data Access,DOM implementation feasible (Socio-econ),Migratory and/or dynamic range,1
Stakeholder/Anthropogenic Data Access,Open Communication or Co-Mngmt in place,Fine Scale management required,1
Availability for species,Resource Availability (economical),Migratory and/or dynamic range,1
Availability for species,Adoption Interests & Incentives,Fine Scale management required,1
Enviro Access,Adoption Interests & Incentives,Fine Scale management required,1
Scale appropriate for system,Pre-existing regulation & management institutions,Climate change,1
Availability for species,DOM implementation feasible (Socio-econ),Limited Prey Resources,1
Enviro Access,Open Communication or Co-Mngmt in place,Distinct Habitat between target and non-target species,1
Open-Access Public Data,Resource Availability (economical),Migratory and/or dynamic range,1
Enviro Access,DOM implementation feasible (Socio-econ),Distinct Habitat between target and non-target species,1
Advances in Tech,Adoption Interests & Incentives,Limited Prey Resources,1
Open-Access Public Data,Adoption Interests & Incentives,Environmental and/or prey associations,1
Advances in Tech,Resource Availability (economical),Known Species Nat History,1
Availability for species,Resource Availability (economical),Environmental and/or prey associations,1
Stakeholder/Anthropogenic Data Access,Pre-existing regulation & management institutions,Fine Scale management required,1
Enviro Access,DOM implementation feasible (Socio-econ),Migratory and/or dynamic range,1
Scale appropriate for system,Adoption Interests & Incentives,Environmental and/or prey associations,1
Availability for species,Pre-existing regulation & management institutions,Distinct Habitat between target and non-target species,1
Stakeholder/Anthropogenic Data Access,Adoption Interests & Incentives,Known Species Nat History,1
Enviro Access,Adoption Interests & Incentives,Climate change,1
Enviro Access,Open Communication or Co-Mngmt in place,Fine Scale management required,1
Open-Access Public Data,Adoption Interests & Incentives,Climate change,1
Availability for species,DOM implementation feasible (Socio-econ),Fine Scale management required,1
Scale appropriate for system,Open Communication or Co-Mngmt in place,Migratory and/or dynamic range,1
Advances in Tech,Resource Availability (economical),Migratory and/or dynamic range,1
Advances in Tech,Adoption Interests & Incentives,Fine Scale management required,1
Advances in Tech,Open Communication or Co-Mngmt in place,Distinct Habitat between target and non-target species,1
Advances in Tech,DOM implementation feasible (Socio-econ),Distinct Habitat between target and non-target species,1
Open-Access Public Data,Pre-existing regulation & management institutions,Migratory and/or dynamic range,1
Scale appropriate for system,Adoption Interests & Incentives,Climate change,1
Stakeholder/Anthropogenic Data Access,Adoption Interests & Incentives,Migratory and/or dynamic range,1
