survey,date,codes,familiartiy,used,pos1,pos2,pos3,pos4,pos5,pos_yrs,pos_num,org_affil,target,non_target,incentives_q,comm,prog_help,pos_other,incentive_other,Difficult to measure progress,Hard to implement across diverse stakeholders,Limited relevance,Missing cross-program comparisons,Insufficient data,Lack of near real-time information,Bycatch predictability,Cost,Lack of political administration permanence,Confidentiality concerns,Lack of incentives,Volunteer programs reduce participation,Regulated programs reduce participation,External pressures reducing participation,Poor communication and outreach,Misalignment among stakeholders,Negative perception of stakeholder group,Behavior change,Regulated program,Volunteer based program,Simplicity,Supplement traditional management,Online presence,Tailored to user group,Goal to reduce negative species interactions,Established communication channels,Minimized externalities,Confidentiality,Fleet buy-in,Pre-existing program,Effective communication,Adoption incentives,Observable progress,Program outreach and transparency,Stakeholder collaboration,Data transparency,Rapid data delivery,Known nautral history,Species spatial separation,Predictable spatial use,Migratory species
Shad surveys,1/8/2024 13:03,28,10,Yes,Fishery scientist,NA,NA,NA,NA,15,15,Herring mid-water trawl and small-mesh bottom trawl fleet (coll,NA,"river herring/shad, haddock",Incentives; multi-stakeholder collaboration,geo-referenced maps sent to smartphones (NA during the program),"Most of the time, yes.",NA,NA,0,0,0,0,2,1,1,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2,1,0,1,1,0,1,0,1,0,0
WhaleWatch surveys,4/1/2024 14:00,21,8,Yes,Vessel owner,Fishery manager,Fishery scientist,NA,NA,30,30,Container,NA,NA,"Multiple stakeholders (e.g., shipping line representatives, man",NA,"Yes, less ambient noise affecting whales and reduced chance of",NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0
WhaleWatch surveys,4/1/2024 22:42,26,8,Yes,Vessel owner,Fishery advisory board member,NA,NA,NA,12,12,Wallenius Wilhelmsen's fleet,NA,NA,"Multiple stakeholders (e.g., shipping line representatives, man",Electronic Chart Display and Information System,"I believe so, however I have no reason for that other than I tr",Member of Scallop Advisory Panel to New England Fishery Managem,Ref two input items above,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0
WhaleWatch surveys,4/4/2024 8:31,3,8,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WhaleWatch surveys,4/17/2024 13:18,3,10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WhaleWatch TMMC surveys,4/22/2024 15:52,24,7,Unsure,Vessel owner,Vessel operator,NA,NA,NA,3,3,Decline to answer,,,Incentives are provided for groups following regulation guideli,,,NA,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,1,0,2,0,0,0,0,2,0,2,1,0,0,2,0,0,0,0
WhaleWatch TMMC surveys,4/22/2024 16:32,14,6,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Incentives are provided for groups following regulation guideli,,,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
WhaleWatch TMMC surveys,4/23/2024 2:58,0,10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WhaleWatch TMMC surveys,4/23/2024 13:49,0,10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WhaleWatch surveys,4/23/2024 15:09,7,10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Program is an enforced regulation.,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WhaleWatch surveys,4/23/2024 15:16,23,8,Yes,Fishery scientist,Fishery manager,NA,NA,NA,2,2,NA,NA,NA,"Program is an enforced regulation.,Multiple stakeholders (e.g.,","Email, website, or API","Yes, although it is so hard to quantify since so many ship stri",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0
